RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2012,ES,13201,5781.94572,1,10,1,1967,1,2,1,1,1,4,1, ,-2, ,-2,13202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,13202,5781.94572,1,8,1,1960,1,1,1,1,1,1,1, ,-2, ,-2,13201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,13203,5781.94572,1,12,1,1987,1,1,1,1,1,1,1,13202,1,13201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,13204,5781.94572,1,12,1,1988,1,2,1,1,1,1,1,13202,1,13201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,13301,503.07325,1,1,1,1951,1,1,1,1,1,4,1, ,-2, ,-2,13302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,13302,503.07325,1,2,1,1952,1,2,1,1,1,3,1, ,-2, ,-2,13301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,13303,503.07325,1,5,1,1986,1,2,1,1,1,1,1,13301,1,13302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,13304,503.07325,1,12,1,1983,1,2,1,2,1,4,1,13301,1,13302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,13601,1304.17346,1,10,1,1976,1,2,1,1,1,4,1, ,-2, ,-2,13602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2012,ES,13602,1304.17346,1,3,1,1975,1,1,1,1,1,2,1, ,-2, ,-2,13601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2012,ES,13603,1304.17346,1,5,1,2001,1,1,1,1,1,4,1,13602,1,13601,1, ,-2, ,-2,25,1,0,1,0,1,0,1,0,1,1267.61714,1,1,1
2012,ES,13604,1304.17346,1,10,1,2006,1,1,1,1,1,4,1,13602,1,13601,1, ,-2,25,1, ,-2,0,1,0,1,0,1,0,1,1408.66916,1,1,1
2012,ES,13801,1226.60199,1,12,1,1969,1,1,1,1,1,1,1, ,-2, ,-2,13802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,13802,1226.60199,1,9,1,1977,1,2,1,2,1,1,1, ,-2, ,-2,13801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,13803,1226.60199,1,6,1,2000,1,2,1,1,1,4,1,13801,1,13802,1, ,-2, ,-2,30,1,0,1,0,1,0,1,0,1,1183.97384,1,0,0
2012,ES,13804,1226.60199,1,2,1,2012,1,1,1,1,1,4,1,13801,1,13802,1, ,-2,0,1, ,-2, ,-2,0,1,0,1,0,1,1399.11214,1,0,0
2012,ES,14401,1120.65728,1,2,1,1966,1,1,1,1,1,1,1, ,-2, ,-2,14403,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,14402,1120.65728,1,6,1,1992,1,1,1,1,1,4,1,14401,1,14403,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,14403,1120.65728,1,2,1,1966,1,2,1,1,1,1,1, ,-2, ,-2,14401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,14404,1120.65728,1,10,1,1997,1,2,1,1,1,4,1,14401,1,14403,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,14801,978.64980,1,9,1,1926,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,15001,734.43281,1,11,1,1960,1,1,1,1,1,1,1, ,-2, ,-2,15004,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,15002,734.43281,1,11,1,1989,1,2,1,2,1,4,1,15001,1,15004,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,15003,734.43281,1,12,1,1993,1,1,1,2,1,4,1,15001,1,15004,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,15004,734.43281,1,10,1,1962,1,2,1,2,1,1,1, ,-2, ,-2,15001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,15201,1895.89714,1,12,1,1972,1,1,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,15601,692.42711,1,8,1,1964,1,2,1,1,1,1,1, ,-2,15602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,15602,692.42711,1,11,1,1940,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,16201,917.91991,1,11,1,1961,1,1,1,1,1,1,1, ,-2, ,-2,16202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2012,ES,16202,917.91991,1,3,1,1968,1,2,1,1,1,1,1, ,-2, ,-2,16201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2012,ES,16203,917.91991,1,5,1,1993,1,1,1,1,1,4,1,16201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2012,ES,16401,1162.43649,1,8,1,1974,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,16601,1404.96095,1,3,1,1933,1,1,1,1,1,3,1, ,-2, ,-2,16602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,16602,1404.96095,1,12,1,1935,1,2,1,1,1,4,1, ,-2, ,-2,16601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,16603,1404.96095,1,10,1,1970,1,1,1,1,1,1,1,16601,1,16602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,16801,1645.22511,1,1,1,1974,1,1,1,1,1,1,1, ,-2, ,-2,16802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,16802,1645.22511,1,1,1,1978,1,2,1,1,1,4,1, ,-2, ,-2,16801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,16803,1645.22511,1,3,1,2006,1,1,1,1,1,4,1,16801,1,16802,1, ,-2,25,1, ,-2,0,1,0,1,0,1,0,1,1629.36820,1,0,0
2012,ES,16804,1645.22511,1,9,1,2008,1,1,1,1,1,4,1,16801,1,16802,1, ,-2,25,1, ,-2,0,1,0,1,0,1,0,1,1641.89623,1,0,0
2012,ES,16901,1702.33314,1,8,1,1967,1,1,1,1,1,2,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,17401,904.03010,1,2,1,1932,1,1,1,1,1,3,1, ,-2, ,-2,17402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,17402,904.03010,1,8,1,1930,1,2,1,1,1,4,1, ,-2, ,-2,17401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,17501,444.45906,1,3,1,1958,1,2,1,1,1,1,1, ,-2, ,-2,17502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,17502,444.45906,1,5,1,1958,1,1,1,1,1,1,1, ,-2, ,-2,17501,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,17503,444.45906,1,6,1,1990,1,2,1,1,1,4,1,17502,1,17501,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,17504,444.45906,1,4,1,1986,1,1,1,1,1,1,1,17502,1,17501,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,17601,1371.24015,1,10,1,1964,1,1,1,1,1,1,1, ,-2, ,-2,17602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2012,ES,17602,1371.24015,1,10,1,1965,1,2,1,1,1,4,1, ,-2, ,-2,17601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2012,ES,17603,1371.24015,1,12,1,1994,1,2,1,1,1,4,1,17601,1,17602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2012,ES,17604,1371.24015,1,12,1,1994,1,2,1,1,1,4,1,17601,1,17602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2012,ES,17605,1371.24015,1,10,1,1996,1,1,1,1,1,4,1,17601,1,17602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2012,ES,18001,6073.71762,1,2,1,1988,1,2,1,1,1,4,1, ,-2, ,-2,18003,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,18002,6073.71762,1,1,1,1981,1,1,1,1,1,2,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,18003,6073.71762,1,3,1,1974,1,1,1,1,1,2,1, ,-2, ,-2,18001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,18004,6073.71762,1,4,1,2008,1,1,1,1,1,4,1,18003,1,18001,1, ,-2,1,1, ,-2,0,1,0,1,0,1,0,1,5734.82592,1,0,0
2012,ES,18101,2945.09682,1,5,1,1970,1,2,1,1,1,4,1, ,-2, ,-2,18102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,18102,2945.09682,1,12,1,1968,1,1,1,1,1,1,1, ,-2, ,-2,18101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,18103,2945.09682,1,12,1,2009,1,2,1,1,1,4,1,18102,1,18101,1, ,-2,25,1, ,-2,0,1,0,1,0,1,0,1,2985.69486,1,0,0
2012,ES,19201,2778.67633,1,2,1,1957,1,1,1,1,1,4,1, ,-2,19202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2012,ES,19202,2778.67633,1,11,1,1926,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,19301,609.19511,1,3,1,1967,1,2,1,1,1,4,1, ,-2, ,-2,19302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,19302,609.19511,1,1,1,1968,1,1,1,1,1,1,1, ,-2, ,-2,19301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,19303,609.19511,1,3,1,2003,1,1,1,1,1,4,1,19302,1,19301,1, ,-2, ,-2,25,1,0,1,0,1,0,1,0,1,625.30394,1,0,0
2012,ES,19401,1725.19765,1,9,1,1959,1,1,1,1,1,1,1, ,-2, ,-2,19402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,19402,1725.19765,1,3,1,1966,1,2,1,2,1,1,1, ,-2, ,-2,19401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,19403,1725.19765,1,7,1,1987,1,2,1,2,1,1,1, ,-2,19402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,19501,1789.18535,1,8,1,1967,1,1,1,1,1,2,1, ,-2, ,-2,19502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2012,ES,19502,1789.18535,1,12,1,1975,1,2,1,1,1,2,1, ,-2, ,-2,19501,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2012,ES,19503,1789.18535,1,10,1,2003,1,1,1,1,1,4,1,19501,1,19502,1, ,-2, ,-2,25,1,0,1,0,1,0,1,0,1,1839.52371,1,0,1
2012,ES,19504,1789.18535,1,5,1,2007,1,1,1,1,1,4,1,19501,1,19502,1, ,-2,25,1, ,-2,0,1,0,1,0,1,0,1,1689.35522,1,0,1
2012,ES,21401,709.30516,1,4,1,1951,1,2,1,1,1,4,1, ,-2, ,-2,21402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,21402,709.30516,1,4,1,1947,1,1,1,1,1,3,1, ,-2, ,-2,21401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,21501,763.28587,1,11,1,1933,1,1,1,1,1,3,1, ,-2, ,-2,21502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,21502,763.28587,1,7,1,1938,1,2,1,1,1,4,1, ,-2, ,-2,21501,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,21601,2501.63454,1,1,1,1976,1,1,1,1,1,1,1, ,-2, ,-2,21602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,21602,2501.63454,1,12,1,1976,1,2,1,1,1,2,1, ,-2, ,-2,21601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,21603,2501.63454,1,10,1,2008,1,2,1,1,1,4,1,21601,1,21602,1, ,-2,25,1, ,-2,0,1,0,1,0,1,0,1,2496.57283,1,0,0
2012,ES,22001,1923.59924,1,5,1,1942,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,22301,2016.85163,1,9,1,1977,1,2,1,1,1,2,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2012,ES,22302,2016.85163,1,1,1,1999,1,1,1,1,1,4,1, ,-2,22301,1, ,-2, ,-2,0,1, ,-2,0,1,0,1,0,1, ,-2,1,1
2012,ES,23501,477.56118,1,11,1,1952,1,1,1,1,1,1,1, ,-2, ,-2,23502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
