DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2008,ES,15962,ES24,1,1909,1,528.69752,1,3,1
2008,ES,15967,ES70,1,1388,1,271.59405,1,1,1
2008,ES,15976,ES11,1,1439,1,997.22022,1,3,1
2008,ES,15980,ES24,1,1942,1,465.29380,1,1,1
2008,ES,15983,ES41,1,422,1,1789.86949,1,1,1
2008,ES,15991,ES70,1,1489,1,302.16200,1,1,1
2008,ES,15996,ES11,1,1428,1,405.86292,1,1,1
2008,ES,16002,ES24,1,1909,1,228.26728,1,3,1
2008,ES,16004,ES62,1,1183,1,595.57511,1,2,1
2008,ES,16005,ES61,1,1611,1,1697.62357,1,3,1
2008,ES,16012,ES63,1,1979,1,49.45659,1,1,1
2008,ES,16015,ES43,1,151,1,289.56377,1,3,1
2008,ES,16018,ES12,1,1281,1,2596.36980,1,3,1
2008,ES,16022,ES41,1,1815,1,594.70582,1,1,1
2008,ES,16023,ES53,1,186,1,669.74652,1,2,1
2008,ES,16026,ES11,1,1270,1,4561.38676,1,3,1
2008,ES,16033,ES12,1,1347,1,327.74416,1,2,1
2008,ES,16034,ES62,1,1155,1,454.95610,1,2,1
2008,ES,16035,ES24,1,1944,1,359.51667,1,3,1
2008,ES,16039,ES42,1,28,1,928.52985,1,3,1
2008,ES,16043,ES21,1,3,1,1622.13470,1,3,1
2008,ES,16048,ES61,1,660,1,1565.28224,1,1,1
2008,ES,16050,ES21,1,1830,1,1375.11903,1,1,1
2008,ES,16054,ES61,1,104,1,1911.75516,1,3,1
2008,ES,16056,ES52,1,1735,1,3111.48113,1,1,1
2008,ES,16060,ES41,1,1811,1,2652.50950,1,1,1
2008,ES,16061,ES43,1,151,1,489.40186,1,3,1
2008,ES,16064,ES61,1,765,1,936.19300,1,3,1
2008,ES,16066,ES52,1,41,1,1243.16742,1,1,1
2008,ES,16067,ES61,1,663,1,1434.10916,1,3,1
2008,ES,16072,ES61,1,725,1,1279.01717,1,1,1
2008,ES,16077,ES51,1,1662,1,3231.88109,1,2,1
2008,ES,16091,ES23,1,865,1,190.15790,1,2,1
